TRANSACTION_ID;TRANSACTION_DATE;TRANSACTION_TIME;TRANSACTION_QTY;STORE_ID;STORE_LOCATION;PRODUCT_ID;UNIT_PRICE;PRODUCT_CATEGORY;PRODUCT_TYPE;PRODUCT_DETAIL;TIME_BUCKETS;MONTH_ID;TOTAL_SALES2;WEEKDAY
17;2023/01/01;59:58,0;1;5;Lower Manhattan;79;3,75;Bakery;Scone;Jumbo Savory Scone;Peak Morning Rush 6AM-9AM;202301;3,75;Sunday
18;2023/01/01;00:18,0;1;8;Hell's Kitchen;42;2,5;Tea;Brewed herbal tea;Lemon Grass Rg;Peak Morning Rush 6AM-9AM;202301;2,5;Sunday
19;2023/01/01;00:39,0;2;8;Hell's Kitchen;59;4,5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;Peak Morning Rush 6AM-9AM;202301;9;Sunday
20;2023/01/01;11:45,0;1;8;Hell's Kitchen;61;4,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Lg;Peak Morning Rush 6AM-9AM;202301;4,75;Sunday
21;2023/01/01;17:27,0;2;8;Hell's Kitchen;33;3,5;Coffee;Gourmet brewed coffee;Ethiopia Lg;Peak Morning Rush 6AM-9AM;202301;7;Sunday
22;2023/01/01;24:26,0;2;5;Lower Manhattan;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Peak Morning Rush 6AM-9AM;202301;5,1;Sunday
23;2023/01/01;24:26,0;1;5;Lower Manhattan;69;3,25;Bakery;Biscotti;Hazelnut Biscotti;Peak Morning Rush 6AM-9AM;202301;3,25;Sunday
24;2023/01/01;29:38,0;1;8;Hell's Kitchen;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Peak Morning Rush 6AM-9AM;202301;2,55;Sunday
25;2023/01/01;31:23,0;1;8;Hell's Kitchen;40;3,75;Coffee;Barista Espresso;Cappuccino;Peak Morning Rush 6AM-9AM;202301;3,75;Sunday
26;2023/01/01;33:08,0;1;5;Lower Manhattan;43;3;Tea;Brewed herbal tea;Lemon Grass Lg;Peak Morning Rush 6AM-9AM;202301;3;Sunday
27;2023/01/01;33:08,0;1;5;Lower Manhattan;76;3,5;Bakery;Biscotti;Chocolate Chip Biscotti;Peak Morning Rush 6AM-9AM;202301;3,5;Sunday
28;2023/01/01;35:03,0;2;5;Lower Manhattan;45;3;Tea;Brewed herbal tea;Peppermint Lg;Peak Morning Rush 6AM-9AM;202301;6;Sunday
29;2023/01/01;35:03,0;1;5;Lower Manhattan;71;3,75;Bakery;Pastry;Chocolate Croissant;Peak Morning Rush 6AM-9AM;202301;3,75;Sunday
30;2023/01/01;41:57,0;2;8;Hell's Kitchen;40;3,75;Coffee;Barista Espresso;Cappuccino;Peak Morning Rush 6AM-9AM;202301;7,5;Sunday
31;2023/01/01;52:03,0;1;8;Hell's Kitchen;38;3,75;Coffee;Barista Espresso;Latte;Peak Morning Rush 6AM-9AM;202301;3,75;Sunday
32;2023/01/01;52:32,0;1;5;Lower Manhattan;26;3;Coffee;Organic brewed coffee;Brazilian Rg;Peak Morning Rush 6AM-9AM;202301;3;Sunday
33;2023/01/01;54:33,0;2;5;Lower Manhattan;27;3,5;Coffee;Organic brewed coffee;Brazilian Lg;Peak Morning Rush 6AM-9AM;202301;7;Sunday
34;2023/01/01;56:27,0;2;5;Lower Manhattan;29;2,5;Coffee;Gourmet brewed coffee;Columbian Medium Roast Rg;Peak Morning Rush 6AM-9AM;202301;5;Sunday
35;2023/01/01;57:46,0;1;8;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Peak Morning Rush 6AM-9AM;202301;2,5;Sunday
36;2023/01/01;58:55,0;1;5;Lower Manhattan;26;3;Coffee;Organic brewed coffee;Brazilian Rg;Peak Morning Rush 6AM-9AM;202301;3;Sunday
37;2023/01/01;00:12,0;1;5;Lower Manhattan;55;4;Tea;Brewed Chai tea;Morning Sunrise Chai Lg;Mid Morning 9AM-12PM;202301;4;Sunday
38;2023/01/01;00:24,0;2;8;Hell's Kitchen;40;3,75;Coffee;Barista Espresso;Cappuccino;Mid Morning 9AM-12PM;202301;7,5;Sunday
39;2023/01/01;07:13,0;1;8;Hell's Kitchen;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;3;Sunday
40;2023/01/01;08:09,0;2;8;Hell's Kitchen;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;6;Sunday
41;2023/01/01;08:13,0;1;8;Hell's Kitchen;24;3;Coffee;Drip coffee;Our Old Time Diner Blend Lg;Mid Morning 9AM-12PM;202301;3;Sunday
42;2023/01/01;10:30,0;2;5;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;7,5;Sunday
43;2023/01/01;10:30,0;1;5;Lower Manhattan;78;4,5;Bakery;Scone;Scottish Cream Scone ;Mid Morning 9AM-12PM;202301;4,5;Sunday
44;2023/01/01;11:06,0;1;5;Lower Manhattan;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Mid Morning 9AM-12PM;202301;2,55;Sunday
45;2023/01/01;11:06,0;1;5;Lower Manhattan;77;3;Bakery;Scone;Oatmeal Scone;Mid Morning 9AM-12PM;202301;3;Sunday
46;2023/01/01;13:01,0;1;5;Lower Manhattan;44;2,5;Tea;Brewed herbal tea;Peppermint Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
47;2023/01/01;13:15,0;2;5;Lower Manhattan;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Mid Morning 9AM-12PM;202301;5,1;Sunday
48;2023/01/01;14:16,0;1;5;Lower Manhattan;48;2,5;Tea;Brewed Black tea;English Breakfast Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
49;2023/01/01;14:17,0;1;8;Hell's Kitchen;23;2,5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
50;2023/01/01;14:25,0;1;8;Hell's Kitchen;46;2,5;Tea;Brewed Green tea;Serenity Green Tea Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
51;2023/01/01;14:41,0;1;8;Hell's Kitchen;32;3;Coffee;Gourmet brewed coffee;Ethiopia Rg;Mid Morning 9AM-12PM;202301;3;Sunday
52;2023/01/01;15:09,0;2;5;Lower Manhattan;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;6;Sunday
53;2023/01/01;15:13,0;2;5;Lower Manhattan;43;3;Tea;Brewed herbal tea;Lemon Grass Lg;Mid Morning 9AM-12PM;202301;6;Sunday
54;2023/01/01;19:21,0;2;5;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee;Brazilian Sm;Mid Morning 9AM-12PM;202301;4,4;Sunday
55;2023/01/01;19:26,0;1;8;Hell's Kitchen;59;4,5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;Mid Morning 9AM-12PM;202301;4,5;Sunday
56;2023/01/01;21:08,0;1;5;Lower Manhattan;38;3,75;Coffee;Barista Espresso;Latte;Mid Morning 9AM-12PM;202301;3,75;Sunday
57;2023/01/01;22:17,0;1;8;Hell's Kitchen;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;3;Sunday
58;2023/01/01;22:46,0;1;5;Lower Manhattan;34;2,45;Coffee;Premium brewed coffee;Jamaican Coffee River Sm;Mid Morning 9AM-12PM;202301;2,45;Sunday
59;2023/01/01;29:56,0;2;8;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;Mid Morning 9AM-12PM;202301;7,5;Sunday
60;2023/01/01;29:56,0;1;8;Hell's Kitchen;74;3,5;Bakery;Biscotti;Ginger Biscotti;Mid Morning 9AM-12PM;202301;3,5;Sunday
61;2023/01/01;29:57,0;1;8;Hell's Kitchen;53;3;Tea;Brewed Chai tea;Traditional Blend Chai Lg;Mid Morning 9AM-12PM;202301;3;Sunday
62;2023/01/01;34:17,0;2;8;Hell's Kitchen;41;4,25;Coffee;Barista Espresso;Cappuccino Lg;Mid Morning 9AM-12PM;202301;8,5;Sunday
63;2023/01/01;40:13,0;1;5;Lower Manhattan;41;4,25;Coffee;Barista Espresso;Cappuccino Lg;Mid Morning 9AM-12PM;202301;4,25;Sunday
64;2023/01/01;41:22,0;2;5;Lower Manhattan;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;6;Sunday
65;2023/01/01;41:22,0;1;5;Lower Manhattan;79;3,75;Bakery;Scone;Jumbo Savory Scone;Mid Morning 9AM-12PM;202301;3,75;Sunday
66;2023/01/01;44:20,0;2;5;Lower Manhattan;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;5;Sunday
67;2023/01/01;44:46,0;1;5;Lower Manhattan;24;3;Coffee;Drip coffee;Our Old Time Diner Blend Lg;Mid Morning 9AM-12PM;202301;3;Sunday
68;2023/01/01;46:46,0;2;5;Lower Manhattan;37;3;Coffee;Barista Espresso;Espresso shot;Mid Morning 9AM-12PM;202301;6;Sunday
69;2023/01/01;47:40,0;2;8;Hell's Kitchen;40;3,75;Coffee;Barista Espresso;Cappuccino;Mid Morning 9AM-12PM;202301;7,5;Sunday
70;2023/01/01;50:44,0;2;5;Lower Manhattan;37;3;Coffee;Barista Espresso;Espresso shot;Mid Morning 9AM-12PM;202301;6;Sunday
71;2023/01/01;50:44,0;1;5;Lower Manhattan;69;3,25;Bakery;Biscotti;Hazelnut Biscotti;Mid Morning 9AM-12PM;202301;3,25;Sunday
72;2023/01/01;52:58,0;1;5;Lower Manhattan;50;2,5;Tea;Brewed Black tea;Earl Grey Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
73;2023/01/01;53:28,0;1;8;Hell's Kitchen;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;3;Sunday
74;2023/01/01;53:44,0;2;8;Hell's Kitchen;40;3,75;Coffee;Barista Espresso;Cappuccino;Mid Morning 9AM-12PM;202301;7,5;Sunday
75;2023/01/01;53:44,0;1;8;Hell's Kitchen;72;3,25;Bakery;Scone;Ginger Scone;Mid Morning 9AM-12PM;202301;3,25;Sunday
76;2023/01/01;53:49,0;1;8;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;Mid Morning 9AM-12PM;202301;3,1;Sunday
77;2023/01/01;54:46,0;1;5;Lower Manhattan;23;2,5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
78;2023/01/01;55:16,0;2;5;Lower Manhattan;43;3;Tea;Brewed herbal tea;Lemon Grass Lg;Mid Morning 9AM-12PM;202301;6;Sunday
79;2023/01/01;56:30,0;1;8;Hell's Kitchen;22;2;Coffee;Drip coffee;Our Old Time Diner Blend Sm;Mid Morning 9AM-12PM;202301;2;Sunday
80;2023/01/01;00:39,0;2;8;Hell's Kitchen;32;3;Coffee;Gourmet brewed coffee;Ethiopia Rg;Mid Morning 9AM-12PM;202301;6;Sunday
81;2023/01/01;03:55,0;2;8;Hell's Kitchen;36;3,75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;Mid Morning 9AM-12PM;202301;7,5;Sunday
82;2023/01/01;14:49,0;1;5;Lower Manhattan;26;3;Coffee;Organic brewed coffee;Brazilian Rg;Mid Morning 9AM-12PM;202301;3;Sunday
83;2023/01/01;14:49,0;1;5;Lower Manhattan;71;3,75;Bakery;Pastry;Chocolate Croissant;Mid Morning 9AM-12PM;202301;3,75;Sunday
84;2023/01/01;16:30,0;2;5;Lower Manhattan;32;3;Coffee;Gourmet brewed coffee;Ethiopia Rg;Mid Morning 9AM-12PM;202301;6;Sunday
85;2023/01/01;16:33,0;1;8;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
86;2023/01/01;18:14,0;2;8;Hell's Kitchen;41;4,25;Coffee;Barista Espresso;Cappuccino Lg;Mid Morning 9AM-12PM;202301;8,5;Sunday
87;2023/01/01;18:52,0;2;5;Lower Manhattan;25;2,2;Coffee;Organic brewed coffee;Brazilian Sm;Mid Morning 9AM-12PM;202301;4,4;Sunday
88;2023/01/01;19:42,0;2;5;Lower Manhattan;23;2,5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;Mid Morning 9AM-12PM;202301;5;Sunday
89;2023/01/01;24:19,0;1;8;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
90;2023/01/01;25:22,0;2;8;Hell's Kitchen;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Mid Morning 9AM-12PM;202301;5,1;Sunday
91;2023/01/01;25:45,0;2;5;Lower Manhattan;58;3,5;Drinking Chocolate;Hot chocolate;Dark chocolate Rg;Mid Morning 9AM-12PM;202301;7;Sunday
92;2023/01/01;25:45,0;1;5;Lower Manhattan;74;3,5;Bakery;Biscotti;Ginger Biscotti;Mid Morning 9AM-12PM;202301;3,5;Sunday
93;2023/01/01;27:48,0;2;8;Hell's Kitchen;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;6;Sunday
94;2023/01/01;30:07,0;1;5;Lower Manhattan;35;3,1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;Mid Morning 9AM-12PM;202301;3,1;Sunday
95;2023/01/01;30:07,0;1;5;Lower Manhattan;70;3,25;Bakery;Scone;Cranberry Scone;Mid Morning 9AM-12PM;202301;3,25;Sunday
96;2023/01/01;35:47,0;1;8;Hell's Kitchen;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;3,75;Sunday
97;2023/01/01;41:53,0;1;5;Lower Manhattan;59;4,5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;Mid Morning 9AM-12PM;202301;4,5;Sunday
98;2023/01/01;47:53,0;2;5;Lower Manhattan;36;3,75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;Mid Morning 9AM-12PM;202301;7,5;Sunday
99;2023/01/01;49:13,0;2;8;Hell's Kitchen;51;3;Tea;Brewed Black tea;Earl Grey Lg;Mid Morning 9AM-12PM;202301;6;Sunday
100;2023/01/01;49:51,0;2;5;Lower Manhattan;61;4,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Lg;Mid Morning 9AM-12PM;202301;9,5;Sunday
101;2023/01/01;51:17,0;1;5;Lower Manhattan;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;3;Sunday
102;2023/01/01;52:44,0;2;8;Hell's Kitchen;23;2,5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;Mid Morning 9AM-12PM;202301;5;Sunday
103;2023/01/01;52:44,0;1;8;Hell's Kitchen;73;3,75;Bakery;Pastry;Almond Croissant;Mid Morning 9AM-12PM;202301;3,75;Sunday
104;2023/01/01;56:14,0;1;5;Lower Manhattan;38;3,75;Coffee;Barista Espresso;Latte;Mid Morning 9AM-12PM;202301;3,75;Sunday
105;2023/01/01;56:14,0;1;5;Lower Manhattan;76;3,5;Bakery;Biscotti;Chocolate Chip Biscotti;Mid Morning 9AM-12PM;202301;3,5;Sunday
106;2023/01/01;01:48,0;1;3;Astoria;22;2;Coffee;Drip coffee;Our Old Time Diner Blend Sm;Mid Morning 9AM-12PM;202301;2;Sunday
107;2023/01/01;01:58,0;1;3;Astoria;38;3,75;Coffee;Barista Espresso;Latte;Mid Morning 9AM-12PM;202301;3,75;Sunday
108;2023/01/01;01:58,0;1;3;Astoria;75;3,5;Bakery;Pastry;Croissant;Mid Morning 9AM-12PM;202301;3,5;Sunday
109;2023/01/01;03:25,0;2;5;Lower Manhattan;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;6;Sunday
110;2023/01/01;03:25,0;1;5;Lower Manhattan;75;3,5;Bakery;Pastry;Croissant;Mid Morning 9AM-12PM;202301;3,5;Sunday
111;2023/01/01;04:32,0;2;8;Hell's Kitchen;39;4,25;Coffee;Barista Espresso;Latte Rg;Mid Morning 9AM-12PM;202301;8,5;Sunday
112;2023/01/01;08:11,0;1;3;Astoria;59;4,5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;Mid Morning 9AM-12PM;202301;4,5;Sunday
113;2023/01/01;08:59,0;2;8;Hell's Kitchen;51;3;Tea;Brewed Black tea;Earl Grey Lg;Mid Morning 9AM-12PM;202301;6;Sunday
114;2023/01/01;09:01,0;1;3;Astoria;59;4,5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;Mid Morning 9AM-12PM;202301;4,5;Sunday
115;2023/01/01;10:21,0;1;3;Astoria;47;3;Tea;Brewed Green tea;Serenity Green Tea Lg;Mid Morning 9AM-12PM;202301;3;Sunday
116;2023/01/01;10:21,0;1;3;Astoria;79;3,75;Bakery;Scone;Jumbo Savory Scone;Mid Morning 9AM-12PM;202301;3,75;Sunday
117;2023/01/01;10:58,0;1;3;Astoria;46;2,5;Tea;Brewed Green tea;Serenity Green Tea Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
118;2023/01/01;12:29,0;1;3;Astoria;43;3;Tea;Brewed herbal tea;Lemon Grass Lg;Mid Morning 9AM-12PM;202301;3;Sunday
119;2023/01/01;16:02,0;2;3;Astoria;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;6;Sunday
120;2023/01/01;21:00,0;2;8;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;5;Sunday
121;2023/01/01;21:04,0;2;5;Lower Manhattan;51;3;Tea;Brewed Black tea;Earl Grey Lg;Mid Morning 9AM-12PM;202301;6;Sunday
122;2023/01/01;21:14,0;1;3;Astoria;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;3,75;Sunday
123;2023/01/01;23:01,0;1;8;Hell's Kitchen;31;2,2;Coffee;Gourmet brewed coffee;Ethiopia Sm;Mid Morning 9AM-12PM;202301;2,2;Sunday
124;2023/01/01;23:43,0;2;5;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;7,5;Sunday
125;2023/01/01;23:43,0;1;5;Lower Manhattan;77;3;Bakery;Scone;Oatmeal Scone;Mid Morning 9AM-12PM;202301;3;Sunday
126;2023/01/01;25:35,0;2;3;Astoria;49;3;Tea;Brewed Black tea;English Breakfast Lg;Mid Morning 9AM-12PM;202301;6;Sunday
127;2023/01/01;25:37,0;2;5;Lower Manhattan;40;3,75;Coffee;Barista Espresso;Cappuccino;Mid Morning 9AM-12PM;202301;7,5;Sunday
128;2023/01/01;28:15,0;2;8;Hell's Kitchen;44;2,5;Tea;Brewed herbal tea;Peppermint Rg;Mid Morning 9AM-12PM;202301;5;Sunday
129;2023/01/01;28:29,0;2;3;Astoria;33;3,5;Coffee;Gourmet brewed coffee;Ethiopia Lg;Mid Morning 9AM-12PM;202301;7;Sunday
130;2023/01/01;29:25,0;2;5;Lower Manhattan;56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;Mid Morning 9AM-12PM;202301;5,1;Sunday
131;2023/01/01;29:57,0;2;8;Hell's Kitchen;35;3,1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;Mid Morning 9AM-12PM;202301;6,2;Sunday
132;2023/01/01;29:57,0;1;8;Hell's Kitchen;78;4,5;Bakery;Scone;Scottish Cream Scone ;Mid Morning 9AM-12PM;202301;4,5;Sunday
133;2023/01/01;30:22,0;1;8;Hell's Kitchen;23;2,5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
134;2023/01/01;31:35,0;1;8;Hell's Kitchen;24;3;Coffee;Drip coffee;Our Old Time Diner Blend Lg;Mid Morning 9AM-12PM;202301;3;Sunday
135;2023/01/01;31:43,0;2;5;Lower Manhattan;51;3;Tea;Brewed Black tea;Earl Grey Lg;Mid Morning 9AM-12PM;202301;6;Sunday
136;2023/01/01;31:43,0;1;5;Lower Manhattan;72;3,25;Bakery;Scone;Ginger Scone;Mid Morning 9AM-12PM;202301;3,25;Sunday
137;2023/01/01;31:53,0;2;5;Lower Manhattan;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;5;Sunday
138;2023/01/01;31:53,0;1;5;Lower Manhattan;75;3,5;Bakery;Pastry;Croissant;Mid Morning 9AM-12PM;202301;3,5;Sunday
139;2023/01/01;39:14,0;1;5;Lower Manhattan;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;3,75;Sunday
140;2023/01/01;39:14,0;1;5;Lower Manhattan;71;3,75;Bakery;Pastry;Chocolate Croissant;Mid Morning 9AM-12PM;202301;3,75;Sunday
141;2023/01/01;40:26,0;2;3;Astoria;52;2,5;Tea;Brewed Chai tea;Traditional Blend Chai Rg;Mid Morning 9AM-12PM;202301;5;Sunday
142;2023/01/01;43:57,0;2;3;Astoria;25;2,2;Coffee;Organic brewed coffee;Brazilian Sm;Mid Morning 9AM-12PM;202301;4,4;Sunday
143;2023/01/01;44:09,0;1;5;Lower Manhattan;38;3,75;Coffee;Barista Espresso;Latte;Mid Morning 9AM-12PM;202301;3,75;Sunday
144;2023/01/01;47:13,0;1;3;Astoria;30;3;Coffee;Gourmet brewed coffee;Columbian Medium Roast Lg;Mid Morning 9AM-12PM;202301;3;Sunday
145;2023/01/01;48:56,0;2;8;Hell's Kitchen;50;2,5;Tea;Brewed Black tea;Earl Grey Rg;Mid Morning 9AM-12PM;202301;5;Sunday
146;2023/01/01;49:42,0;1;8;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
147;2023/01/01;49:42,0;1;8;Hell's Kitchen;72;3,25;Bakery;Scone;Ginger Scone;Mid Morning 9AM-12PM;202301;3,25;Sunday
148;2023/01/01;50:16,0;2;3;Astoria;26;3;Coffee;Organic brewed coffee;Brazilian Rg;Mid Morning 9AM-12PM;202301;6;Sunday
149;2023/01/01;50:23,0;2;3;Astoria;36;3,75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;Mid Morning 9AM-12PM;202301;7,5;Sunday
150;2023/01/01;50:58,0;2;5;Lower Manhattan;45;3;Tea;Brewed herbal tea;Peppermint Lg;Mid Morning 9AM-12PM;202301;6;Sunday
151;2023/01/01;51:30,0;2;8;Hell's Kitchen;33;3,5;Coffee;Gourmet brewed coffee;Ethiopia Lg;Mid Morning 9AM-12PM;202301;7;Sunday
152;2023/01/01;52:31,0;1;5;Lower Manhattan;57;3,1;Tea;Brewed Chai tea;Spicy Eye Opener Chai Lg;Mid Morning 9AM-12PM;202301;3,1;Sunday
153;2023/01/01;57:17,0;2;3;Astoria;37;3;Coffee;Barista Espresso;Espresso shot;Mid Morning 9AM-12PM;202301;6;Sunday
154;2023/01/01;57:59,0;1;3;Astoria;50;2,5;Tea;Brewed Black tea;Earl Grey Rg;Mid Morning 9AM-12PM;202301;2,5;Sunday
155;2023/01/01;57:59,0;1;3;Astoria;79;3,75;Bakery;Scone;Jumbo Savory Scone;Mid Morning 9AM-12PM;202301;3,75;Sunday
156;2023/01/01;58:15,0;2;3;Astoria;60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;Mid Morning 9AM-12PM;202301;7,5;Sunday
157;2023/01/01;00:20,0;1;5;Lower Manhattan;29;2,5;Coffee;Gourmet brewed coffee;Columbian Medium Roast Rg;Afternoon 12PM-4PM;202301;2,5;Sunday
158;2023/01/01;01:00,0;2;3;Astoria;49;3;Tea;Brewed Black tea;English Breakfast Lg;Afternoon 12PM-4PM;202301;6;Sunday
159;2023/01/01;01:20,0;2;3;Astoria;35;3,1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;Afternoon 12PM-4PM;202301;6,2;Sunday
160;2023/01/01;01:20,0;1;3;Astoria;75;3,5;Bakery;Pastry;Croissant;Afternoon 12PM-4PM;202301;3,5;Sunday
